발생년도,시도,시군구,폐기물 대분류,폐기물 중분류,폐기물 소분류,전체발생량,총계_재활용,총계_소각,총계_매립,총계_기타
2014,전국,합계,,,,42355.2,24552.9,11530.6,6271.7,0
2014,서울,종로구,,,,290.9,170.4,88.1,32.4,0
2014,서울,중구,,,,410.6,258.6,132.6,19.4,0
2014,서울,용산구,,,,245.4,158.1,79.1,8.2,0
2014,서울,성동구,,,,228.6,142.6,65.1,20.9,0
2014,서울,광진구,,,,298.7,209.5,55.1,34.1,0
2014,서울,동대문구,,,,382.8,268.9,90.9,23,0
2014,서울,중랑구,,,,353.2,251.8,82.6,18.8,0
2014,서울,성북구,,,,345,226,95.3,23.7,0
2014,서울,강북구,,,,227.9,147.8,64.6,15.5,0
2014,서울,도봉구,,,,324.3,256.4,55.4,12.5,0
2014,서울,노원구,,,,345,228.8,105.2,11,0
2014,서울,은평구,,,,291.3,149.9,44.5,96.9,0
2014,서울,서대문구,,,,288.5,194.3,85.9,8.3,0
2014,서울,마포구,,,,449.1,324.7,112.7,11.7,0
2014,서울,양천구,,,,310.1,202.2,93,14.9,0
2014,서울,강서구,,,,365.9,240.9,100,25,0
2014,서울,구로구,,,,300.7,171.6,112.9,16.2,0
2014,서울,금천구,,,,242.9,159.5,7.7,75.7,0
2014,서울,영등포구,,,,315.8,173.7,105.5,36.6,0
2014,서울,동작구,,,,298.8,208.6,73.3,16.9,0
2014,서울,관악구,,,,327.5,198.3,31,98.2,0
2014,서울,서초구,,,,475.5,329.4,108.7,37.4,0
2014,서울,강남구,,,,699.9,472.9,121,106,0
2014,서울,송파구,,,,498.6,336.8,97.8,64,0
2014,서울,강동구,,,,349.5,239.7,55.9,53.9,0
2014,부산,중구,,,,83.4,39.3,39.8,4.3,0
2014,부산,서구,,,,104.7,73.4,26.9,4.4,0
2014,부산,동구,,,,95.2,69.9,19.6,5.7,0
2014,부산,영도구,,,,126.7,99.6,23.7,3.4,0
2014,부산,부산진구,,,,294,260.8,0.8,32.4,0
2014,부산,동래구,,,,226.6,202.8,0,23.8,0
2014,부산,남구,,,,214.8,193.7,0.4,20.7,0
2014,부산,북구,,,,227.3,204.1,7.8,15.4,0
2014,부산,해운대구,,,,309.4,218,84.4,7,0
2014,부산,사하구,,,,312.5,213.1,90.3,9.1,0
2014,부산,금정구,,,,215,194.8,0,20.2,0
2014,부산,강서구,,,,54.1,35.6,13.9,4.6,0
2014,부산,연제구,,,,173,155,0,18,0
2014,부산,수영구,,,,144.3,128.6,0.1,15.6,0
2014,부산,사상구,,,,194.9,160.6,23.3,11,0
2014,부산,기장군,,,,79.4,38,38.2,3.2,0
2014,대구,중구,,,,126.4,61.4,13.6,51.4,0
2014,대구,동구,,,,313.2,150.5,61.9,100.8,0
2014,대구,서구,,,,218.6,118.5,32,68.1,0
2014,대구,남구,,,,166.2,76.5,40.6,49.1,0
2014,대구,북구,,,,389.2,220.1,38,131.1,0
2014,대구,수성구,,,,357.4,203.6,49.4,104.4,0
2014,대구,달서구,,,,501.5,302.8,91.8,106.9,0
2014,대구,달성군,,,,151.4,81.2,23.4,46.8,0
2014,인천,중구,,,,105,45.4,35.8,23.8,0
2014,인천,동구,,,,40.7,21.2,11.1,8.4,0
2014,인천,미추홀구,,,,224.9,118.3,83.3,23.3,0
2014,인천,연수구,,,,120.2,59.8,53.7,6.7,0
2014,인천,남동구,,,,267.2,146.4,102.9,17.9,0
2014,인천,부평구,,,,278,130,117.3,30.7,0
2014,인천,계양구,,,,164,87,61.9,15.1,0
2014,인천,서구,,,,190.3,82.7,80.4,27.2,0
2014,인천,강화군,,,,27.7,10.5,1.4,15.8,0
2014,인천,옹진군,,,,12.6,6.5,4.4,1.7,0
2014,인천,청라경제청,,,,30.1,5.1,25,0,0
2014,광주,동구,,,,136.6,89.4,5.1,42.1,0
2014,광주,서구,,,,277.5,177.7,78.4,21.4,0
2014,광주,남구,,,,163,107.9,5.6,49.5,0
2014,광주,북구,,,,311.2,187,84.5,39.7,0
2014,광주,광산구,,,,259.1,171.5,67.3,20.3,0
2014,대전,동구,,,,224.4,144.1,46.5,33.8,0
2014,대전,중구,,,,210.6,130.3,39.6,40.7,0
2014,대전,서구,,,,406.8,256.3,96.9,53.6,0
2014,대전,유성구,,,,250.1,175.1,48,27,0
2014,대전,대덕구,,,,165.3,91.3,45.7,28.3,0
2014,울산,중구,,,,249.6,138.1,93.5,18,0
2014,울산,남구,,,,385.2,208,157,20.2,0
2014,울산,동구,,,,212.9,119.1,84.2,9.6,0
2014,울산,북구,,,,226.7,104.3,94.6,27.8,0
2014,울산,울주군,,,,202.2,96.3,102.4,3.5,0
2014,세종,세종특별자치시,,,,71.8,36.9,31.5,3.4,0
2014,경기,수원시,,,,814.8,473.4,341.4,0,0
2014,경기,성남시,,,,766.3,358.3,407.1,0.9,0
2014,경기,의정부시,,,,330.4,215.4,113.9,1.1,0
2014,경기,안양시,,,,355.5,165.2,184,6.3,0
2014,경기,부천시,,,,527.7,324.6,196.6,6.5,0
2014,경기,광명시,,,,208.6,100,101.8,6.8,0
2014,경기,평택시,,,,394.6,237.8,61.7,95.1,0
2014,경기,동두천시,,,,70.1,41.7,28.4,0,0
2014,경기,안산시,,,,462.7,243.7,166.2,52.8,0
2014,경기,고양시,,,,721.1,438.6,234,48.5,0
2014,경기,과천시,,,,50,12,36.6,1.4,0
2014,경기,구리시,,,,134.8,71.3,56.3,7.2,0
2014,경기,남양주시,,,,345.5,179.3,144.6,21.6,0
2014,경기,오산시,,,,134,74.8,49.6,9.6,0
2014,경기,시흥시,,,,247.4,167.5,18.7,61.2,0
2014,경기,군포시,,,,163.7,74.1,89.6,0,0
2014,경기,의왕시,,,,110.1,64,21.8,24.3,0
2014,경기,하남시,,,,123.9,80.6,43.3,0,0
2014,경기,용인시,,,,687.5,396.8,230.3,60.4,0
2014,경기,파주시,,,,314.5,197,107.9,9.6,0
2014,경기,이천시,,,,132,78.3,53.7,0,0
2014,경기,안성시,,,,98.1,40.3,38.2,19.6,0
2014,경기,김포시,,,,152.3,63.7,37.7,50.9,0
2014,경기,화성시,,,,241.5,139.3,87.4,14.8,0
2014,경기,광주시,,,,231.4,151.1,80.3,0,0
2014,경기,양주시,,,,135.8,82.8,53,0,0
2014,경기,포천시,,,,166.6,99.9,53.2,13.5,0
2014,경기,여주시,,,,65.6,38.9,13.2,13.5,0
2014,경기,연천군,,,,43.5,23.5,17.9,2.1,0
2014,경기,가평군,,,,57.7,39.1,0,18.6,0
2014,경기,양평군,,,,49.8,18.5,27,4.3,0
2014,강원,춘천시,,,,432,263.7,145.7,22.6,0
2014,강원,원주시,,,,218.4,153.6,0,64.8,0
