발생년도,시도,시군구,전체발생량,총계_재활용,총계_소각,총계_매립,총계_기타
2014,서울,종로구,290.9,170.4,88.1,32.4,0.0
2014,서울,중구,410.6,258.6,132.6,19.4,0.0
2014,서울,용산구,245.4,158.1,79.1,8.2,0.0
2014,서울,성동구,228.6,142.6,65.1,20.9,0.0
2014,서울,광진구,298.7,209.5,55.1,34.1,0.0
2014,서울,동대문구,382.8,268.9,90.9,23.0,0.0
2014,서울,중랑구,353.2,251.8,82.6,18.8,0.0
2014,서울,성북구,345.0,226.0,95.3,23.7,0.0
2014,서울,강북구,227.9,147.8,64.6,15.5,0.0
2014,서울,도봉구,324.3,256.4,55.4,12.5,0.0
2014,서울,노원구,345.0,228.8,105.2,11.0,0.0
2014,서울,은평구,291.3,149.9,44.5,96.9,0.0
2014,서울,서대문구,288.5,194.3,85.9,8.3,0.0
2014,서울,마포구,449.1,324.7,112.7,11.7,0.0
2014,서울,양천구,310.1,202.2,93.0,14.9,0.0
2014,서울,강서구,365.9,240.9,100.0,25.0,0.0
2014,서울,구로구,300.7,171.6,112.9,16.2,0.0
2014,서울,금천구,242.9,159.5,7.7,75.7,0.0
2014,서울,영등포구,315.8,173.7,105.5,36.6,0.0
2014,서울,동작구,298.8,208.6,73.3,16.9,0.0
2014,서울,관악구,327.5,198.3,31.0,98.2,0.0
2014,서울,서초구,475.5,329.4,108.7,37.4,0.0
2014,서울,강남구,699.9,472.9,121.0,106.0,0.0
2014,서울,송파구,498.6,336.8,97.8,64.0,0.0
2014,서울,강동구,349.5,239.7,55.9,53.9,0.0
2014,부산,중구,83.4,39.3,39.8,4.3,0.0
2014,부산,서구,104.7,73.4,26.9,4.4,0.0
2014,부산,동구,95.2,69.9,19.6,5.7,0.0
2014,부산,영도구,126.7,99.6,23.7,3.4,0.0
2014,부산,부산진구,294.0,260.8,0.8,32.4,0.0
2014,부산,동래구,226.6,202.8,0.0,23.8,0.0
2014,부산,남구,214.8,193.7,0.4,20.7,0.0
2014,부산,북구,227.3,204.1,7.8,15.4,0.0
2014,부산,해운대구,309.4,218.0,84.4,7.0,0.0
2014,부산,사하구,312.5,213.1,90.3,9.1,0.0
2014,부산,금정구,215.0,194.8,0.0,20.2,0.0
2014,부산,강서구,54.1,35.6,13.9,4.6,0.0
2014,부산,연제구,173.0,155.0,0.0,18.0,0.0
2014,부산,수영구,144.3,128.6,0.1,15.6,0.0
2014,부산,사상구,194.9,160.6,23.3,11.0,0.0
2014,부산,기장군,79.4,38.0,38.2,3.2,0.0
2014,대구,중구,126.4,61.4,13.6,51.4,0.0
2014,대구,동구,313.2,150.5,61.9,100.8,0.0
2014,대구,서구,218.6,118.5,32.0,68.1,0.0
2014,대구,남구,166.2,76.5,40.6,49.1,0.0
2014,대구,북구,389.2,220.1,38.0,131.1,0.0
2014,대구,수성구,357.4,203.6,49.4,104.4,0.0
2014,대구,달서구,501.5,302.8,91.8,106.9,0.0
2014,대구,달성군,151.4,81.2,23.4,46.8,0.0
2014,인천,중구,105.0,45.4,35.8,23.8,0.0
2014,인천,동구,40.7,21.2,11.1,8.4,0.0
2014,인천,미추홀구,224.9,118.3,83.3,23.3,0.0
2014,인천,연수구,120.2,59.8,53.7,6.7,0.0
2014,인천,남동구,267.2,146.4,102.9,17.9,0.0
2014,인천,부평구,278.0,130.0,117.3,30.7,0.0
2014,인천,계양구,164.0,87.0,61.9,15.1,0.0
2014,인천,서구,190.3,82.7,80.4,27.2,0.0
2014,인천,강화군,27.7,10.5,1.4,15.8,0.0
2014,인천,옹진군,12.6,6.5,4.4,1.7,0.0
2014,인천,청라경제청,30.1,5.1,25.0,0.0,0.0
2014,광주,동구,136.6,89.4,5.1,42.1,0.0
2014,광주,서구,277.5,177.7,78.4,21.4,0.0
2014,광주,남구,163.0,107.9,5.6,49.5,0.0
2014,광주,북구,311.2,187.0,84.5,39.7,0.0
2014,광주,광산구,259.1,171.5,67.3,20.3,0.0
2014,대전,동구,224.4,144.1,46.5,33.8,0.0
2014,대전,중구,210.6,130.3,39.6,40.7,0.0
2014,대전,서구,406.8,256.3,96.9,53.6,0.0
2014,대전,유성구,250.1,175.1,48.0,27.0,0.0
2014,대전,대덕구,165.3,91.3,45.7,28.3,0.0
2014,울산,중구,249.6,138.1,93.5,18.0,0.0
2014,울산,남구,385.2,208.0,157.0,20.2,0.0
2014,울산,동구,212.9,119.1,84.2,9.6,0.0
2014,울산,북구,226.7,104.3,94.6,27.8,0.0
2014,울산,울주군,202.2,96.3,102.4,3.5,0.0
2014,세종,세종특별자치시,71.8,36.9,31.5,3.4,0.0
2014,경기,수원시,814.8,473.4,341.4,0.0,0.0
2014,경기,성남시,766.3,358.3,407.1,0.9,0.0
2014,경기,의정부시,330.4,215.4,113.9,1.1,0.0
2014,경기,안양시,355.5,165.2,184.0,6.3,0.0
2014,경기,부천시,527.7,324.6,196.6,6.5,0.0
2014,경기,광명시,208.6,100.0,101.8,6.8,0.0
2014,경기,평택시,394.6,237.8,61.7,95.1,0.0
2014,경기,동두천시,70.1,41.7,28.4,0.0,0.0
2014,경기,안산시,462.7,243.7,166.2,52.8,0.0
2014,경기,고양시,721.1,438.6,234.0,48.5,0.0
2014,경기,과천시,50.0,12.0,36.6,1.4,0.0
2014,경기,구리시,134.8,71.3,56.3,7.2,0.0
2014,경기,남양주시,345.5,179.3,144.6,21.6,0.0
2014,경기,오산시,134.0,74.8,49.6,9.6,0.0
2014,경기,시흥시,247.4,167.5,18.7,61.2,0.0
2014,경기,군포시,163.7,74.1,89.6,0.0,0.0
2014,경기,의왕시,110.1,64.0,21.8,24.3,0.0
2014,경기,하남시,123.9,80.6,43.3,0.0,0.0
2014,경기,용인시,687.5,396.8,230.3,60.4,0.0
2014,경기,파주시,314.5,197.0,107.9,9.6,0.0
2014,경기,이천시,132.0,78.3,53.7,0.0,0.0
2014,경기,안성시,98.1,40.3,38.2,19.6,0.0
2014,경기,김포시,152.3,63.7,37.7,50.9,0.0
2014,경기,화성시,241.5,139.3,87.4,14.8,0.0
2014,경기,광주시,231.4,151.1,80.3,0.0,0.0
2014,경기,양주시,135.8,82.8,53.0,0.0,0.0
2014,경기,포천시,166.6,99.9,53.2,13.5,0.0
2014,경기,여주시,65.6,38.9,13.2,13.5,0.0
2014,경기,연천군,43.5,23.5,17.9,2.1,0.0
2014,경기,가평군,57.7,39.1,0.0,18.6,0.0
2014,경기,양평군,49.8,18.5,27.0,4.3,0.0
2014,강원,춘천시,432.0,263.7,145.7,22.6,0.0
2014,강원,원주시,218.4,153.6,0.0,64.8,0.0
2014,강원,강릉시,323.2,233.0,0.0,90.2,0.0
2014,강원,동해시,118.1,42.3,3.8,72.0,0.0
2014,강원,태백시,50.6,29.6,12.9,8.1,0.0
2014,강원,속초시,164.5,81.0,58.1,25.4,0.0
2014,강원,삼척시,98.7,37.6,0.0,61.1,0.0
2014,강원,홍천군,42.7,4.6,35.1,3.0,0.0
2014,강원,횡성군,30.7,12.2,12.5,6.0,0.0
2014,강원,영월군,33.4,18.1,13.0,2.3,0.0
2014,강원,평창군,39.6,27.0,10.4,2.2,0.0
2014,강원,정선군,41.1,16.5,4.6,20.0,0.0
2014,강원,철원군,59.9,14.0,16.6,29.3,0.0
2014,강원,화천군,48.2,12.4,13.5,22.3,0.0
2014,강원,양구군,35.3,13.5,10.3,11.5,0.0
2014,강원,인제군,48.2,17.5,8.3,22.4,0.0
2014,강원,고성군,30.2,2.2,21.0,7.0,0.0
2014,강원,양양군,34.1,7.3,23.9,2.9,0.0
2014,충북,청주시,1039.0,708.8,261.0,69.2,0.0
2014,충북,충주시,265.8,148.9,70.4,46.5,0.0
2014,충북,제천시,120.5,31.6,28.2,60.7,0.0
2014,충북,보은군,28.8,9.0,6.8,13.0,0.0
2014,충북,옥천군,42.0,13.4,20.3,8.3,0.0
2014,충북,영동군,45.3,18.4,24.4,2.5,0.0
2014,충북,증평군,30.7,11.9,6.2,12.6,0.0
2014,충북,진천군,41.8,28.0,12.6,1.2,0.0
2014,충북,괴산군,25.4,13.8,2.3,9.3,0.0
2014,충북,음성군,83.1,33.6,40.1,9.4,0.0
2014,충북,단양군,33.2,11.8,14.1,7.3,0.0
2014,충남,천안시,743.1,409.9,202.2,131.0,0.0
2014,충남,공주시,107.4,58.1,47.6,1.7,0.0
2014,충남,보령시,102.5,53.5,48.3,0.7,0.0
2014,충남,아산시,248.0,146.1,100.8,1.1,0.0
2014,충남,서산시,160.0,85.0,4.5,70.5,0.0
2014,충남,논산시,151.9,70.9,41.0,40.0,0.0
2014,충남,계룡시,46.9,21.5,24.4,1.0,0.0
2014,충남,당진시,137.6,36.1,101.5,0.0,0.0
2014,충남,금산군,37.3,10.5,0.0,26.8,0.0
2014,충남,부여군,59.5,36.9,0.0,22.6,0.0
2014,충남,서천군,37.4,14.4,3.7,19.3,0.0
2014,충남,청양군,24.4,7.7,13.1,3.6,0.0
2014,충남,홍성군,63.0,31.2,30.0,1.8,0.0
2014,충남,예산군,46.0,15.0,29.7,1.3,0.0
2014,충남,태안군,57.7,23.4,34.0,0.3,0.0
2014,전북,전주시,684.0,462.0,177.0,45.0,0.0
2014,전북,군산시,279.6,80.0,0.0,199.6,0.0
2014,전북,익산시,206.3,140.1,66.2,0.0,0.0
2014,전북,정읍시,79.9,32.2,35.4,12.3,0.0
2014,전북,남원시,64.8,21.4,0.0,43.4,0.0
2014,전북,김제시,65.6,41.9,18.3,5.4,0.0
2014,전북,완주군,36.5,21.4,14.1,1.0,0.0
2014,전북,진안군,20.8,5.5,0.0,15.3,0.0
2014,전북,무주군,18.7,14.3,0.0,4.4,0.0
2014,전북,장수군,25.0,7.7,0.0,17.3,0.0
2014,전북,임실군,14.3,4.8,0.0,9.5,0.0
2014,전북,순창군,13.0,4.8,0.0,8.2,0.0
2014,전북,고창군,53.9,40.8,0.0,13.1,0.0
2014,전북,부안군,54.6,33.4,0.0,21.2,0.0
2014,전남,목포시,212.9,67.8,0.0,145.1,0.0
2014,전남,여수시,328.2,72.2,75.0,181.0,0.0
2014,전남,순천시,211.1,107.0,0.0,104.1,0.0
2014,전남,나주시,54.3,31.9,1.6,20.8,0.0
2014,전남,광양시,168.0,67.4,0.0,100.6,0.0
2014,전남,담양군,31.3,5.5,20.0,5.8,0.0
2014,전남,곡성군,22.3,14.7,0.0,7.6,0.0
2014,전남,구례군,15.5,12.2,3.3,0.0,0.0
2014,전남,고흥군,57.2,20.6,11.2,25.4,0.0
2014,전남,보성군,34.5,17.7,15.0,1.8,0.0
2014,전남,화순군,43.0,27.2,1.6,14.2,0.0
2014,전남,장흥군,30.4,12.3,7.8,10.3,0.0
2014,전남,강진군,28.0,13.7,7.6,6.7,0.0
2014,전남,해남군,56.6,37.8,7.4,11.4,0.0
2014,전남,영암군,113.0,87.2,25.8,0.0,0.0
2014,전남,무안군,63.9,26.7,31.5,5.7,0.0
2014,전남,함평군,15.3,1.6,9.2,4.5,0.0
2014,전남,영광군,38.2,5.4,24.0,8.8,0.0
2014,전남,장성군,21.8,2.3,14.0,5.5,0.0
2014,전남,완도군,49.7,10.4,31.0,8.3,0.0
2014,전남,진도군,43.4,20.6,19.7,3.1,0.0
2014,전남,신안군,40.2,15.4,21.9,2.9,0.0
2014,경북,포항시,523.1,278.2,0.0,244.9,0.0
2014,경북,경주시,245.9,137.2,92.6,16.1,0.0
2014,경북,김천시,77.8,26.1,43.4,8.3,0.0
2014,경북,안동시,197.2,174.8,0.0,22.4,0.0
2014,경북,구미시,308.6,114.8,187.7,6.1,0.0
2014,경북,영주시,175.7,81.6,0.0,94.1,0.0
2014,경북,영천시,61.6,19.0,41.6,1.0,0.0
2014,경북,상주시,65.8,20.6,41.0,4.2,0.0
2014,경북,문경시,103.1,31.2,43.1,28.8,0.0
2014,경북,경산시,166.2,75.7,27.0,63.5,0.0
2014,경북,군위군,13.6,2.7,3.2,7.7,0.0
2014,경북,의성군,40.2,11.6,10.1,18.5,0.0
2014,경북,청송군,22.2,4.8,14.5,2.9,0.0
2014,경북,영양군,13.3,2.9,1.1,9.3,0.0
2014,경북,영덕군,44.6,6.9,26.6,11.1,0.0
2014,경북,청도군,19.9,11.6,5.3,3.0,0.0
2014,경북,고령군,20.1,5.2,10.7,4.2,0.0
2014,경북,성주군,26.7,6.6,15.2,4.9,0.0
2014,경북,칠곡군,99.1,13.8,81.7,3.6,0.0
2014,경북,예천군,31.4,7.8,17.5,6.1,0.0
2014,경북,봉화군,50.6,17.6,1.2,31.8,0.0
2014,경북,울진군,46.4,26.0,13.7,6.7,0.0
2014,경북,울릉군,12.0,0.6,4.3,7.1,0.0
2014,경남,창원시,961.2,487.4,363.0,110.8,0.0
2014,경남,진주시,347.8,195.1,0.0,152.7,0.0
2014,경남,통영시,157.8,48.7,36.8,72.3,0.0
2014,경남,사천시,144.8,55.8,37.7,51.3,0.0
2014,경남,김해시,433.0,255.7,155.6,21.7,0.0
2014,경남,밀양시,81.7,33.3,39.1,9.3,0.0
2014,경남,거제시,209.8,109.5,97.4,2.9,0.0
2014,경남,양산시,240.9,136.5,74.1,30.3,0.0
2014,경남,의령군,30.7,15.3,8.5,6.9,0.0
2014,경남,함안군,62.1,26.6,34.6,0.9,0.0
2014,경남,창녕군,50.4,31.5,14.7,4.2,0.0
2014,경남,고성군,35.7,16.7,15.6,3.4,0.0
2014,경남,남해군,29.5,19.6,0.0,9.9,0.0
2014,경남,하동군,40.9,12.5,10.8,17.6,0.0
2014,경남,산청군,28.2,9.0,8.3,10.9,0.0
2014,경남,함양군,34.8,8.5,15.1,11.2,0.0
2014,경남,거창군,66.4,27.3,29.6,9.5,0.0
2014,경남,합천군,36.2,14.9,11.1,10.2,0.0
2014,제주,제주시,501.1,322.0,117.5,61.6,0.0
2014,제주,서귀포시,277.2,165.3,46.9,65.0,0.0
2015,서울,종로구,284.3,181.0,72.5,30.8,0.0
2015,서울,중구,434.3,283.2,130.7,20.4,0.0
2015,서울,용산구,240.1,158.8,72.1,9.2,0.0
2015,서울,성동구,235.7,157.7,54.3,23.7,0.0
2015,서울,광진구,300.2,216.4,56.2,27.6,0.0
2015,서울,동대문구,381.7,270.8,89.8,21.1,0.0
2015,서울,중랑구,363.0,260.6,87.9,14.5,0.0
2015,서울,성북구,339.0,230.5,90.6,17.9,0.0
