시도,시군구,폐기물 종류_대,폐기물 종류_중,폐기물 종류_소,2019년 발생량,총계_재활용,총계_소각,총계_매립,총계_기타,공공처리_재활용,공공처리_소각,공공처리_매립,공공처리_기타,자가처리_재활용,자가처리_소각,자가처리_매립,자가처리_기타,위탁처리_재활용,위탁처리_소각,위탁처리_매립,위탁처리_기타,YEAR
전국,합계,합계,EMPTY,EMPTY,45912.1,25887.2,13101.4,6753.5,170,10598.1,11688.5,6380.7,63.4,89.9,1.3,2.7,1.1,15199.2,1411.6,370.1,105.5,2019
전국,합계,종량제방식 등 혼합배출,소계,EMPTY,20971.1,2227.1,12205.1,6447.8,91.1,1710.4,11164,6107.7,45.8,0,0,0,0,516.7,1041.1,340.1,45.3,2019
전국,합계,종량제방식 등 혼합배출,가연성,소계,18031.9,2062.9,11310.9,4575.4,82.7,1590.7,10335.5,4302.5,39.4,0,0,0,0,472.2,975.4,272.9,43.3,2019
전국,합계,종량제방식 등 혼합배출,가연성,폐지류,4870.2,429.9,3214.5,1220.5,5.3,386.4,2994.2,1145.6,5.3,0,0,0,0,43.5,220.3,74.9,0,2019
전국,합계,종량제방식 등 혼합배출,가연성,폐합성수지류,4416.5,578.3,2755.2,1078.2,4.8,464.3,2377.5,1005.5,4.5,0,0,0,0,114,377.7,72.7,0.3,2019
전국,합계,종량제방식 등 혼합배출,가연성,폐고무류,511.9,101.2,322.4,88.1,0.2,99.8,302.8,71.6,0.2,0,0,0,0,1.4,19.6,16.5,0,2019
전국,합계,종량제방식 등 혼합배출,가연성,폐섬유류,880.9,56.1,622.3,201.8,0.7,46.5,598.1,195.5,0.7,0,0,0,0,9.6,24.2,6.3,0,2019
전국,합계,종량제방식 등 혼합배출,가연성,음식물류 폐기물,1408.7,114.5,934.1,312.9,47.2,86.1,887.8,290,20.1,0,0,0,0,28.4,46.3,22.9,27.1,2019
전국,합계,종량제방식 등 혼합배출,가연성,폐목재류,1186,281.8,744.2,151.6,8.4,60.1,705.4,133.1,0.5,0,0,0,0,221.7,38.8,18.5,7.9,2019
전국,합계,종량제방식 등 혼합배출,가연성,기타,4757.7,501.1,2718.2,1522.3,16.1,447.5,2469.7,1461.2,8.1,0,0,0,0,53.6,248.5,61.1,8,2019
전국,합계,종량제방식 등 혼합배출,불연성,소계,2405.4,134.8,762,1503.4,5.2,107.8,705.4,1468.5,5.2,0,0,0,0,27,56.6,34.9,0,2019
전국,합계,종량제방식 등 혼합배출,불연성,폐금속류,435.4,31.3,210.2,193.5,0.4,22.4,198.9,189.6,0.4,0,0,0,0,8.9,11.3,3.9,0,2019
전국,합계,종량제방식 등 혼합배출,불연성,폐유리류,612.4,42.2,257.5,311.8,0.9,37.5,241.2,308,0.9,0,0,0,0,4.7,16.3,3.8,0,2019
전국,합계,종량제방식 등 혼합배출,불연성,폐토사류,196.1,8.5,35.8,151.8,0,3.2,33.7,150.5,0,0,0,0,0,5.3,2.1,1.3,0,2019
전국,합계,종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,142.1,3.4,10.7,128,0,2.4,10.3,120.6,0,0,0,0,0,1,0.4,7.4,0,2019
전국,합계,종량제방식 등 혼합배출,불연성,연탄재,143.5,15,10.9,114.5,3.1,13.4,9.4,112.4,3.1,0,0,0,0,1.6,1.5,2.1,0,2019
전국,합계,종량제방식 등 혼합배출,불연성,기타,875.9,34.4,236.9,603.8,0.8,28.9,211.9,587.4,0.8,0,0,0,0,5.5,25,16.4,0,2019
전국,합계,종량제방식 등 혼합배출,건설폐재류,EMPTY,250.2,9.3,62,176.9,2,2.7,61,168.6,0,0,0,0,0,6.6,1,8.3,2,2019
전국,합계,종량제방식 등 혼합배출,기타(배출불명등,EMPTY,283.6,20.1,70.2,192.1,1.2,9.2,62.1,168.1,1.2,0,0,0,0,10.9,8.1,24,0,2019
전국,합계,재활용 _가능자원_ 분리배출,소계,EMPTY,11802.2,10927.8,658.6,157,58.8,2590.1,296.9,128.7,12.4,0,0.1,0.1,0,8337.7,361.6,28.2,46.4,2019
전국,합계,재활용 _가능자원_ 분리배출,폐지류,종이팩,473.5,473.5,0,0,0,17.1,0,0,0,0,0,0,0,456.4,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,폐지류,기타,3015.7,3015.7,0,0,0,217.5,0,0,0,0,0,0,0,2798.2,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,고철류,EMPTY,1014.5,1014.5,0,0,0,44,0,0,0,0,0,0,0,970.5,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,금속캔,EMPTY,395.6,395.6,0,0,0,61,0,0,0,0,0,0,0,334.6,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,폐합성수지류,비닐류,1210.9,1210.9,0,0,0,348.4,0,0,0,0,0,0,0,862.5,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,폐합성수지류,발포수지류,160.7,160.7,0,0,0,58.3,0,0,0,0,0,0,0,102.4,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,폐합성수지류,PET병,517.2,517.2,0,0,0,196.7,0,0,0,0,0,0,0,320.5,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,폐합성수지류,기타,715.5,715.5,0,0,0,292.2,0,0,0,0,0,0,0,423.3,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,폐고무류,EMPTY,35.8,35.8,0,0,0,0.9,0,0,0,0,0,0,0,34.9,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,폐유리병류,EMPTY,772.3,772.3,0,0,0,311.2,0,0,0,0,0,0,0,461.1,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,폐의류,EMPTY,141.8,141.8,0,0,0,6.4,0,0,0,0,0,0,0,135.4,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,폐섬유류,EMPTY,63.1,63.1,0,0,0,3.8,0,0,0,0,0,0,0,59.3,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,폐형광등,EMPTY,46.9,46.9,0,0,0,10,0,0,0,0,0,0,0,36.9,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,폐전지류,EMPTY,34.2,34.2,0,0,0,4.5,0,0,0,0,0,0,0,29.7,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,영농폐기물,농약용기류,61.7,61.7,0,0,0,37.8,0,0,0,0,0,0,0,23.9,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,영농폐기물,폐비닐,424,424,0,0,0,212.9,0,0,0,0,0,0,0,211.1,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,폐식용유,EMPTY,44.3,44.3,0,0,0,2.1,0,0,0,0,0,0,0,42.2,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,폐전기전자제품,EMPTY,226.7,226.7,0,0,0,129.6,0,0,0,0,0,0,0,97.1,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,폐가구류,EMPTY,439.9,439.9,0,0,0,270.6,0,0,0,0,0,0,0,169.3,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,기타,EMPTY,304.2,304.2,0,0,0,78.1,0,0,0,0,0,0,0,226.1,0,0,0,2019
전국,합계,재활용 _가능자원_ 분리배출,재활용 잔재물,EMPTY,1703.7,829.3,658.6,157,58.8,287,296.9,128.7,12.4,0,0.1,0.1,0,542.3,361.6,28.2,46.4,2019
전국,합계,음식물류 폐기물 분리배출,EMPTY,EMPTY,13138.8,12732.3,237.7,148.7,20.1,6297.6,227.6,144.3,5.2,89.9,1.2,2.6,1.1,6344.8,8.9,1.8,13.8,2019
서울,소계,합계,EMPTY,EMPTY,8658,5513.1,2165,970.4,9.5,1050.2,1892.9,830.6,0,4.6,0,0,0.2,4458.3,272.1,139.8,9.3,2019
서울,소계,종량제방식 등 혼합배출,소계,EMPTY,3214.6,138.1,2106.1,961.1,9.3,0,1887.6,830.6,0,0,0,0,0,138.1,218.5,130.5,9.3,2019
서울,소계,종량제방식 등 혼합배출,가연성,소계,2925,132.8,2000.2,784.7,7.3,0,1808.3,700.2,0,0,0,0,0,132.8,191.9,84.5,7.3,2019
서울,소계,종량제방식 등 혼합배출,가연성,폐지류,802.9,6.3,552.3,244.3,0,0,519.7,202.4,0,0,0,0,0,6.3,32.6,41.9,0,2019
서울,소계,종량제방식 등 혼합배출,가연성,폐합성수지류,530,35,369.8,124.9,0.3,0,270.1,113.9,0,0,0,0,0,35,99.7,11,0.3,2019
서울,소계,종량제방식 등 혼합배출,가연성,폐고무류,67.7,0.2,46.1,21.4,0,0,39.6,14,0,0,0,0,0,0.2,6.5,7.4,0,2019
서울,소계,종량제방식 등 혼합배출,가연성,폐섬유류,112.7,2.7,83,27,0,0,83,27,0,0,0,0,0,2.7,0,0,0,2019
서울,소계,종량제방식 등 혼합배출,가연성,음식물류 폐기물,127.9,2,84.3,41.6,0,0,74.3,34.7,0,0,0,0,0,2,10,6.9,0,2019
서울,소계,종량제방식 등 혼합배출,가연성,폐목재류,163.1,74.4,62.3,20.4,6,0,49.9,16.2,0,0,0,0,0,74.4,12.4,4.2,6,2019
서울,소계,종량제방식 등 혼합배출,가연성,기타,1120.7,12.2,802.4,305.1,1,0,771.7,292,0,0,0,0,0,12.2,30.7,13.1,1,2019
서울,소계,종량제방식 등 혼합배출,불연성,소계,255.3,5.3,103.7,146.3,0,0,79.2,129.2,0,0,0,0,0,5.3,24.5,17.1,0,2019
서울,소계,종량제방식 등 혼합배출,불연성,폐금속류,31.6,1.4,16.5,13.7,0,0,15.2,12.7,0,0,0,0,0,1.4,1.3,1,0,2019
서울,소계,종량제방식 등 혼합배출,불연성,폐유리류,55.7,0.7,29.2,25.8,0,0,26.3,23.6,0,0,0,0,0,0.7,2.9,2.2,0,2019
서울,소계,종량제방식 등 혼합배출,불연성,폐토사류,24.7,2.2,5.3,17.2,0,0,4.2,15.9,0,0,0,0,0,2.2,1.1,1.3,0,2019
서울,소계,종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,7.6,0.1,5,2.5,0,0,5,2.5,0,0,0,0,0,0.1,0,0,0,2019
서울,소계,종량제방식 등 혼합배출,불연성,연탄재,3.9,0,0.5,3.4,0,0,0.5,3.4,0,0,0,0,0,0,0,0,0,2019
서울,소계,종량제방식 등 혼합배출,불연성,기타,131.8,0.9,47.2,83.7,0,0,28,71.1,0,0,0,0,0,0.9,19.2,12.6,0,2019
서울,소계,종량제방식 등 혼합배출,건설폐재류,EMPTY,8.1,0,0,6.1,2,0,0,1.2,0,0,0,0,0,0,0,4.9,2,2019
서울,소계,종량제방식 등 혼합배출,기타(배출불명등,EMPTY,26.2,0,2.2,24,0,0,0.1,0,0,0,0,0,0,0,2.1,24,0,2019
서울,소계,재활용 _가능자원_ 분리배출,소계,EMPTY,2865.1,2796.9,58.9,9.3,0,344.7,5.3,0,0,0,0,0,0,2452.2,53.6,9.3,0,2019
서울,소계,재활용 _가능자원_ 분리배출,폐지류,종이팩,200.9,200.9,0,0,0,2.2,0,0,0,0,0,0,0,198.7,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,폐지류,기타,745.1,745.1,0,0,0,35.3,0,0,0,0,0,0,0,709.8,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,고철류,EMPTY,95.6,95.6,0,0,0,2.2,0,0,0,0,0,0,0,93.4,0,0,0,2019
